2025-10-20 12:41:48 | INFO | Usuario: admin | Tipo: ERROR | Contraseña incorrecta. Intento 1/3
2025-10-20 12:42:01 | INFO | Usuario: admin | Tipo: ERROR | Contraseña incorrecta. Intento 2/3
2025-10-20 12:42:38 | INFO | Usuario: admin | Tipo: LOGIN | Acceso exitoso
2025-10-20 12:45:26 | INFO | Usuario: profesor | Tipo: LOGIN | Acceso exitoso
2025-10-20 12:50:29 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 12:51:08 | INFO | Usuario: invitado | Tipo: INFO | Ingreso como invitado
2025-10-20 17:08:03 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:05:10 | INFO | Usuario: admin | Tipo: ERROR | Contraseña incorrecta. Intento 1/3
2025-10-20 18:05:16 | INFO | Usuario: admin | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:06:34 | INFO | Usuario: admin | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:09:31 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:11:49 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:14:38 | INFO | Usuario: Jose Gonzales | Tipo: ERROR | Contraseña incorrecta. Intento 1/3
2025-10-20 18:14:45 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:16:31 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:17:10 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:18:34 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:19:02 | INFO | Usuario: Jose Gonzales | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:20:41 | INFO | Usuario: admin | Tipo: LOGIN | Acceso exitoso
2025-10-20 18:40:32 | INFO | Usuario: estudiante | Tipo: LOGIN | Acceso exitoso
